Scenario,Urgency,Believability,Excuse
work,high,high,My child broke their arm at school and I had to take them to the emergency room.
work,high,high,There was a fire in my apartment building and we were evacuated for safety.
work,high,high,My spouse was hospitalized overnight and I had to stay with them for medical updates.
work,high,high,My car was involved in a multi-vehicle accident and I had to wait for the police and insurance.
work,high,high,My elderly parent fell at home and I had to accompany them to the hospital.
work,high,high,My child had a severe asthma attack and I had to rush them to the ER.
work,high,high,My pet swallowed a foreign object and I had to take them to emergency surgery.
work,high,high,There was a gas leak in my building and the fire department evacuated everyone.
work,high,high,My spouse was in a car accident and needed immediate assistance.
work,high,high,My child’s school was closed suddenly due to a COVID outbreak and I had to stay home.
work,high,high,My phone was stolen on my way to work and I had to file a police report.
work,high,high,There was a fire alarm in my building and we were kept outside for hours.
work,high,high,My neighbor had a medical emergency and I was the only one available to help.
work,high,high,"My internet provider scheduled emergency maintenance without notice, leaving me offline."
work,high,high,I accidentally locked myself out and had to wait for a locksmith.
work,high,high,My child had a sudden allergic reaction and I had to take them to the ER.
work,high,high,My car was towed by mistake and I had to spend hours retrieving it.
work,high,high,My partner’s flight was delayed and I had to pick them up late at night.
work,high,high,I was called for jury duty with no prior notice.
work,high,high,My child’s daycare closed suddenly due to a health concern and I had to stay home.
work,high,high,The power went out in my neighborhood and I couldn’t access any digital tools.
work,high,high,My elderly parent fell and needed immediate assistance.
work,high,high,There was a major accident on my commute route causing massive delays.
work,high,high,My pet needed emergency care and I had to rush to the vet.
work,high,high,My sibling was in a minor accident and needed a ride home.
work,high,high,My apartment was broken into and I had to speak with police.
work,high,high,My child’s babysitter canceled last minute and I couldn’t find a replacement.
work,high,high,My spouse was unwell and I had to stay home to care for them.
work,high,high,The subway was shut down due to a security threat.
work,high,high,I had a dental emergency and needed urgent treatment.
work,high,high,My car was blocked by a delivery truck for hours.
work,high,high,My neighbor’s fire alarm went off and I had to help evacuate.
work,high,high,My home Wi-Fi stopped working and I had to wait for a technician.
work,high,high,There was a burst pipe in my kitchen and I had to manage repairs.
work,high,high,My child’s school bus was involved in a minor accident.
work,high,high,My pet needed an urgent vaccination.
work,high,high,My building was fumigated unexpectedly and I had to leave.
work,high,high,My spouse’s car broke down and I had to pick them up.
work,high,high,My neighbor’s child got locked out and I was the only one home to help.
work,high,high,My child had a fever and couldn’t go to daycare.
work,high,high,My apartment complex had a fire drill that lasted hours.
work,high,high,I lost my house keys and had to wait for a spare set.
work,high,high,My elderly neighbor fell and I was the only one home to assist.
work,high,high,My phone crashed and I lost access to important work files.
work,high,high,My partner had a panic attack and I needed to support them.
work,high,medium,My neighbor’s pet bit a delivery person and I had to help until animal control arrived.
work,high,medium,My phone was stolen on my way to work and I had to spend the morning replacing it.
work,high,medium,My bus broke down in an unfamiliar area and I had to wait for a replacement.
work,high,medium,My landlord locked me out by mistake and I had to wait for a spare key.
work,high,medium,My child had a severe allergic reaction to a bee sting and I had to rush home.
work,high,medium,My spouse’s car broke down on the highway and I had to pick them up.
work,high,medium,There was a hazardous chemical spill on my street and the fire department told us to shelter in place.
work,high,medium,My sibling had a panic attack and I needed to stay with them until they calmed down.
work,high,medium,My roommate was injured in a kitchen accident and I had to drive them to urgent care.
work,high,medium,My child’s after-school program was canceled due to a staff shortage and I had to arrange care.
work,high,medium,My pet bird escaped its cage and I spent hours searching the house before finding it.
work,high,medium,My car keys snapped off in the ignition and I had to wait for a locksmith.
work,high,medium,"The elevator in my building was stuck between floors with my elderly neighbor inside, so I stayed until emergency crews rescued her."
work,high,medium,My partner had a dental emergency and I had to drive them to an urgent appointment.
work,high,medium,My neighbor’s dog bit a delivery person and I had to help handle the situation with animal control.
work,high,medium,"My spouse’s work called them in for an emergency shift, so I had to stay home with our children."
work,high,medium,My child’s school bus was delayed for hours due to a major accident on the route.
work,high,medium,My car’s brakes failed as I was leaving for work and I had to arrange for a tow and repairs.
work,high,medium,"My apartment’s heating system broke down during a cold snap, and I had to wait for the repair technician."
work,high,medium,My pet snake escaped its enclosure and I had to find it before it got lost in the building.
work,high,medium,My partner’s prescription medication ran out unexpectedly and I had to drive across town to get a refill.
work,high,medium,My spouse fainted while making breakfast and I had to take them to urgent care for observation.
work,high,medium,My sibling was locked out of their apartment and needed me to bring them a spare key.
work,high,medium,"My neighbor’s pipes burst and flooded their apartment, and I helped them move valuables before the restoration crew arrived."
work,high,medium,My child’s after-school club was canceled and I had to pick them up early.
work,high,medium,My partner’s sibling was in a minor accident and I had to help with hospital paperwork.
work,high,medium,My spouse’s work called an emergency meeting and I had to stay home to supervise our children.
work,high,medium,My car’s steering locked up and I had to wait for a tow and emergency repairs.
work,high,medium,My pet dog was sprayed by a skunk and I had to bathe it before I could leave.
work,high,medium,My neighbor’s elderly father wandered off and I joined the search party until he was found.
work,high,medium,My partner’s phone was stolen and I had to help them reset accounts and contact work.
work,high,medium,"My child’s aftercare program was canceled due to a burst pipe, and I had to make alternate arrangements."
