Type,Apology
emotional,"""I'm truly sorry for letting you down. I hope you can forgive me."""
emotional,"""My actions were thoughtless and I regret them deeply. I hope you find it in your heart to forgive me."""
emotional,"""I never intended to cause you pain. I'm so sorry for my mistake."""
emotional,"""My heart aches knowing I caused you sadness. Please forgive me."""
emotional,"""I feel awful for what I did. I hope you can find it in your heart to forgive me."""
emotional,"""I wish I could undo my actions. I'm truly sorry for hurting you."""
emotional,"""Please forgive me for my insensitivity. I never wanted to make you feel this way."""
emotional,"""I'm sorry for breaking your trust. I promise to do better."""
emotional,"""Knowing I hurt you is unbearable. Please accept my apology."""
emotional,"""I regret my words and actions. I hope you can forgive me."""
emotional,"""I'm sorry for not being there when you needed me most."""
emotional,"""Your forgiveness would mean the world to me. I'm truly sorry."""
emotional,"""I can't stop thinking about my mistake. Please forgive me."""
emotional,"""I'm sorry for letting my emotions get the best of me."""
emotional,"""I wish I could fix everything. I'm so sorry."""
emotional,"""I'm sorry for making you feel unimportant. You matter to me."""
emotional,"""I'm sorry for not listening to you. Your feelings are important."""
emotional,"""I feel terrible for what I did. Please forgive me."""
emotional,"""I'm sorry for not appreciating you enough."""
emotional,"""I regret taking you for granted. I'm truly sorry."""
emotional,"""I'm sorry for being selfish. I care about you deeply."""
emotional,"""I'm sorry for my harsh words. I didn't mean them."""
emotional,"""I'm sorry for my thoughtless behavior."""
emotional,"""I'm sorry for not being a better friend."""
emotional,"""I apologize for my insensitivity."""
emotional,"""I'm sorry for making you feel alone."""
emotional,"""I'm sorry for not supporting you when you needed it."""
emotional,"""I'm sorry for my lack of understanding."""
emotional,"""I'm sorry for not being honest with you."""
emotional,"""I'm sorry for not keeping my promise."""
emotional,"""I'm sorry for making you feel neglected."""
emotional,"""I'm sorry for not respecting your feelings."""
emotional,"""I'm sorry for not being patient with you."""
emotional,"""I'm sorry for my mistakes."""
emotional,"""I'm sorry for not being the person you deserved."""
emotional,"""I'm sorry for not valuing you enough."""
emotional,"""I'm sorry for not being there for you."""
emotional,"""I'm sorry for not showing you enough love."""
emotional,"""I'm sorry for not being more considerate."""
emotional,"""I'm sorry for not communicating better."""
emotional,"""I'm sorry for not being more understanding."""
emotional,"""I'm sorry for not making you feel special."""
emotional,"""I'm sorry for not being more attentive."""
emotional,"""I'm sorry for not being more supportive."""
emotional,"""I'm sorry for not being more caring."""
emotional,"""I'm sorry for not being more thoughtful."""
emotional,"""I'm sorry for not being more loving."""
emotional,"""I'm sorry for not being more affectionate."""
emotional,"""I'm sorry for not being more appreciative."""
emotional,"""I'm sorry for not being more forgiving."""
emotional,"""I'm sorry for not being more trusting."""
emotional,"""I'm sorry for not being more reliable."""
emotional,"""I'm sorry for not being more responsible."""
emotional,"""I'm sorry for not being more respectful."""
emotional,"""I'm sorry for not being more honest."""
emotional,"""I'm sorry for not being more open."""
emotional,"""I'm sorry for not being more understanding of your needs."""
emotional,"""I'm sorry for not being more attentive to your feelings."""
emotional,"""I'm sorry for not being more considerate of your feelings."""
emotional,"""I'm sorry for not being more supportive of your dreams."""
emotional,"""I'm sorry for not being more encouraging."""
emotional,"""I'm sorry for not being more positive."""
emotional,"""I'm sorry for not being more optimistic."""
emotional,"""I'm sorry for not being more hopeful."""
emotional,"""I'm sorry for not being more grateful."""
emotional,"""I'm sorry for not being more appreciative of you."""
emotional,"""I'm sorry for not being more thankful."""
emotional,"""I'm sorry for not being more loving towards you."""
emotional,"""I'm sorry for not being more caring towards you."""
emotional,"""I'm sorry for not being more understanding towards you."""
emotional,"""I'm sorry for not being more supportive towards you."""
emotional,"""I'm sorry for not being more encouraging towards you."""
emotional,"""I'm sorry for not being more positive towards you."""
emotional,"""I'm sorry for not being more optimistic towards you."""
emotional,"""I'm sorry for not being more hopeful towards you."""
emotional,"""I'm sorry for not being more grateful towards you."""
emotional,"""I'm sorry for not being more appreciative of your efforts."""
emotional,"""I'm sorry for not being more thankful for your help."""
emotional,"""I'm sorry for not being more loving in our relationship."""
emotional,"""I'm sorry for not being more caring in our relationship."""
emotional,"""I'm sorry for not being more understanding in our relationship."""
emotional,"""I'm sorry for not being more supportive in our relationship."""
emotional,"""I'm sorry for not being more encouraging in our relationship."""
emotional,"""I'm sorry for not being more positive in our relationship."""
emotional,"""I'm sorry for not being more optimistic in our relationship."""
emotional,"""I'm sorry for not being more hopeful in our relationship."""
