"Scenario","Message"
"work","URGENT: Fire reported in the main office. Evacuate immediately using the nearest exit."
"work","ALERT: Gas leak detected in the cafeteria. Leave the area at once and avoid open flames."
"work","EMERGENCY: Active shooter on premises. Lock doors and shelter in place."
"work","WARNING: Severe weather approaching. Remain indoors and stay away from windows."
"work","CRITICAL: Medical emergency on the third floor. First aid responders are on their way."
"work","URGENT: Bomb threat received. All employees must evacuate the building now."
"work","ALERT: Chemical spill in the laboratory. Evacuate that section immediately."
"work","EMERGENCY: Flooding in the basement. Move to higher floors and await instructions."
"work","WARNING: Power outage in the west wing. Use flashlights and stay calm."
"work","CRITICAL: Security breach in the IT department. Remain at your workstations until cleared."
"work","URGENT: Explosion heard near the loading dock. Evacuate the building calmly and quickly."
"work","ALERT: Unauthorized person detected near the server room. Lock doors and await security."
"work","EMERGENCY: Earthquake detected. Take cover under sturdy furniture."
"work","WARNING: Gas alarm triggered in the break room. Leave the area immediately."
"work","CRITICAL: Fire alarm malfunction. Await further instructions and do not use elevators."
"work","URGENT: Medical team needed in conference room 2. Someone has collapsed."
"work","ALERT: Suspicious package found at the main entrance. Avoid the area and notify authorities."
"work","EMERGENCY: Elevator malfunction in building B. Do not use elevators until further notice."
"work","WARNING: Hazardous materials incident in the storage area. Evacuate immediately."
"work","CRITICAL: Security lockdown initiated. Remain in your current location until cleared."
"work","URGENT: Severe thunderstorm warning. Stay away from windows and electronic equipment."
"work","ALERT: Fire reported in the mailroom. Use alternate exits to leave the building."
"work","EMERGENCY: Medical assistance required at the reception desk."
"work","WARNING: Structural damage detected after earthquake. Do not re-enter the building."
"work","CRITICAL: Active threat in the parking garage. Lock office doors and await further instructions."
"work","URGENT: Emergency evacuation drill scheduled for 2 PM today."
"work","ALERT: Severe heatwave alert. Stay hydrated and avoid outdoor activities."
"work","EMERGENCY: Employee fainted in the break room. Assistance needed."
"work","WARNING: Firefighters responding to a blaze in the copy room."
"work","CRITICAL: Backup generators activated due to power failure."
"work","URGENT: Security breach in the IT department. Remain in place until notified."
"work","ALERT: Severe flooding expected. Move to higher floors if possible."
"work","EMERGENCY: Evacuation due to chemical fumes in the maintenance area."
"work","WARNING: Allergic reaction reported in the lunch area. Medical team en route."
"work","CRITICAL: All staff must check in with their emergency contact now."
"work","URGENT: Gas leak suspected. Do not use electrical switches or open flames."
"work","ALERT: Evacuation in progress for severe weather threat."
"work","EMERGENCY: Fire alarm malfunction. Await further instructions."
"work","WARNING: Suspicious package found at the main entrance."
"work","CRITICAL: Medical team required in HR office immediately."
"work","URGENT: Severe windstorm warning. Secure all loose objects and stay indoors."
"work","ALERT: Building lockdown in effect due to police activity nearby."
"work","EMERGENCY: Elevator rescue in progress. Avoid elevator use until cleared."
"work","WARNING: Fire alarm test scheduled for tomorrow morning."
"work","CRITICAL: Heart attack symptoms reported in finance department. Medical team needed."
"work","URGENT: Security sweep in progress. Please remain at your desks."
"work","ALERT: All clear. Emergency situation resolved. Resume normal operations."
"work","EMERGENCY: Fire drill in progress. Proceed to your designated assembly point."
"work","WARNING: Power outage in the east wing. Use flashlights and await updates."
"work","CRITICAL: Tornado warning issued for office area. Seek shelter now."
"work","URGENT: Medical emergency in the boardroom. Assistance required immediately."
"work","ALERT: Lockdown in effect. Remain at your workstations until further notice."
"work","EMERGENCY: Smoke detected in the supply closet. Evacuate that area."
"work","WARNING: Hazardous fumes detected in the copy center. Leave immediately."
"work","CRITICAL: Elevator stuck between floors. Rescue team en route."
"work","URGENT: Employee injured in the loading dock. Medical team needed."
"work","ALERT: Fire alarm triggered in the kitchen. Evacuate calmly and quickly."
"work","EMERGENCY: Unauthorized vehicle parked near the office entrance. Security notified."
"work","WARNING: Gas leak detected in the maintenance room. Avoid the area."
"work","CRITICAL: Water main break detected. Avoid restrooms and kitchen areas."
"work","URGENT: Hazardous chemical odor reported in the print shop. Evacuate."
"work","ALERT: Severe heat advisory. Limit outdoor work activities and hydrate frequently."
"work","EMERGENCY: Employee injured in the break room. First aid required."
"work","WARNING: Attempted break-in at the back entrance. Remain inside and lock doors."
"work","CRITICAL: Firefighters responding to blaze in the storage shed."
"work","URGENT: Emergency lighting activated due to power outage."
"work","ALERT: Early office closure in effect due to snowstorm warning."
"work","EMERGENCY: Head injury reported in the warehouse. Medical team en route."
"work","WARNING: Remain calm and follow emergency procedures."
"work","CRITICAL: Unidentified package found in the lobby. Await further instructions."
"work","URGENT: Employee experiencing dizziness in the conference room. Medical help needed."
"work","ALERT: Tornado watch issued for the office area. Stay alert."
"work","EMERGENCY: Burst water pipe in the kitchen. Evacuate affected area."
"work","WARNING: Remain at your workstations until the all-clear is given."
"work","CRITICAL: Lockdown in effect. Do not open doors for anyone until notified."
"work","URGENT: Fall injury in the mailroom. Medical team dispatched."
"work","ALERT: Fire reported in the parking garage. Evacuate vehicles if safe."
"work","EMERGENCY: Gas leak detected near the cafeteria. Leave that section immediately."
"work","WARNING: Hazardous vapor detected in the mailroom. Evacuate."
"work","CRITICAL: Elevator doors stuck on the fourth floor. Rescue underway."
"work","URGENT: Reduce outdoor activities and drink water due to heat advisory."
"work","ALERT: Employee cut hand in the supply room. First aid needed."
"work","EMERGENCY: Fire alarm triggered by burnt toast in the break area."
"work","WARNING: Suspicious person seen near the employee entrance. Report immediately."
"work","CRITICAL: Secure outdoor items and stay inside due to windstorm."
"work","URGENT: Smoke in the stairwell. Firefighters responding."
"work","ALERT: Allergic reaction in the HR office. Medical help required."
"work","EMERGENCY: Remain in your current location until police clear the area."
"work","WARNING: Use backup lighting and avoid elevators during power failure."
"work","CRITICAL: Update your emergency contact information now."
"work","URGENT: Chemical fumes in the copy center. Evacuate."
"work","ALERT: Employee fainted in the main hallway. Assistance needed."
"work","EMERGENCY: Suspicious envelope found in the mailroom. Avoid the area."
"work","WARNING: Stay away from windows due to approaching thunderstorm."
"work","CRITICAL: Injury in the loading dock. Medical team responding."
"work","URGENT: Attempted unauthorized access at the loading bay. Security notified."
"work","ALERT: Fire reported in the electrical room. Evacuate immediately."
"work","EMERGENCY: Office closing early today due to snowstorm warning."
"work","WARNING: Remain indoors until notified. Lockdown in effect."
"work","CRITICAL: Smoke detected in the ventilation system. Evacuate affected floors."
"work","URGENT: Fire alarm test scheduled for next Monday."
"work","ALERT: Head injury reported in the supply closet. Medical help needed."
